time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451000000	11.259	21.0298	4.83194	3.1875	0.59849	lidar	0.707534	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0032	20.9918	4.85333	3.22676	0.608789	radar	4.16207	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7994	20.9515	4.78115	3.26377	0.617243	lidar	0.562735	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5543	20.9481	4.74822	3.27241	0.576483	radar	5.50616	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2648	20.9788	4.85882	3.27447	0.545957	lidar	3.45779	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0275	20.9595	4.84994	3.29445	0.536302	radar	1.02108	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.84225	20.9177	4.75363	3.32535	0.542756	lidar	1.58884	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.61587	20.9051	4.68526	3.3285	0.500313	radar	2.28378	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.42805	20.8525	4.61077	3.35937	0.508024	lidar	0.773091	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.21315	20.8084	4.59913	3.38337	0.508351	radar	1.42285	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.90524	20.7818	4.74975	3.38829	0.483883	lidar	2.70761	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.69592	20.7011	4.72209	3.42372	0.498278	radar	4.33021	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40858	20.6205	4.83235	3.44603	0.493349	lidar	2.94706	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.18052	20.5406	4.83941	3.4743	0.49949	radar	0.0729838	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93416	20.4613	4.872	3.49583	0.495255	lidar	0.14792	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71791	20.3756	4.88592	3.52729	0.511079	radar	3.42061	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.39507	20.3194	5.0459	3.52358	0.477384	lidar	3.34151	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.16079	20.2241	5.03512	3.54449	0.470882	radar	0.242753	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.89284	20.1409	5.09437	3.55525	0.45645	lidar	0.521779	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.6668	20.0501	5.06234	3.57121	0.445251	radar	0.563517	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.4194	19.9578	5.08848	3.58472	0.435701	lidar	0.242309	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.20281	19.8647	5.06013	3.60225	0.431653	radar	2.94203	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.93808	19.7705	5.11828	3.60931	0.415512	lidar	0.612335	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.70102	19.6268	5.18759	3.6437	0.439264	radar	1.76212	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.53691	19.5017	5.08312	3.67741	0.453428	lidar	1.72476	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.33456	19.3532	5.07628	3.7099	0.466	radar	1.78718	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.12593	19.2507	5.05056	3.72216	0.454987	lidar	1.98585	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
